iter	MultiRMSE
0	0.9687994874
1	0.9399076445
2	0.9129848536
3	0.8880889731
4	0.8649506804
5	0.8419177216
6	0.822526884
7	0.8046889388
8	0.7867714619
9	0.7717450005
10	0.7579939917
11	0.744189424
12	0.7324354337
13	0.7183372747
14	0.705253071
15	0.6940547769
16	0.682562475
17	0.6737191119
18	0.665364046
19	0.6559053098
20	0.6487002795
21	0.6406188171
22	0.6344970198
23	0.6246368984
24	0.61528609
25	0.6078561403
26	0.6004688901
27	0.5922775208
28	0.5853761362
29	0.5753901997
30	0.5672173646
31	0.5616737949
32	0.5544544767
33	0.5477455684
34	0.5429864784
35	0.5385503967
36	0.534126976
37	0.5263591175
38	0.5214338698
39	0.5154683105
40	0.5119184025
41	0.5080779444
42	0.504442742
43	0.4991006463
44	0.4952572076
45	0.4904118862
46	0.4852178576
47	0.4817656419
48	0.4760043691
49	0.4730325084
50	0.4704790658
51	0.4670431725
52	0.4628535904
53	0.4587621147
54	0.4554559594
55	0.4522204728
56	0.4496824013
57	0.4479846043
58	0.4443963683
59	0.4413498729
60	0.4361291653
61	0.4347472652
62	0.4311274265
63	0.4292174581
64	0.4276637722
65	0.4256001617
66	0.4227049578
67	0.4181336177
68	0.416886778
69	0.4146741105
70	0.4116774208
71	0.4106472593
72	0.4082827739
73	0.4059639997
74	0.4021387549
75	0.4007611137
76	0.3981210719
77	0.3972657772
78	0.3949855463
79	0.3943026134
80	0.391307269
81	0.3906654558
82	0.3874913262
83	0.3840809759
84	0.3821131131
85	0.3810112409
86	0.3785675005
87	0.3759096711
88	0.375145733
89	0.3729389636
90	0.3722075319
91	0.3698933406
92	0.3677492994
93	0.3649073388
94	0.361926476
95	0.3613191215
96	0.3593433686
97	0.3574379174
98	0.3549887861
99	0.3526663671
100	0.3520661659
101	0.3489768539
102	0.3472585923
103	0.3456988477
104	0.3439466476
105	0.3425991269
106	0.3421796278
107	0.3406771984
108	0.3383410496
109	0.3366092124
110	0.3362194748
111	0.3350335034
112	0.3346485536
113	0.3333846833
114	0.3319622765
115	0.3315984841
116	0.330511874
117	0.3301762067
118	0.3289911884
119	0.3279163458
120	0.3264349671
121	0.3252709629
122	0.3240012147
123	0.3236464136
124	0.3222436034
125	0.3204672102
126	0.3188376598
127	0.3168742434
128	0.3165254636
129	0.3151175428
130	0.3133989485
131	0.3118621002
132	0.3115701728
133	0.3105154126
