iter	Passed	Remaining
0	3	3183
1	8	3668
2	13	3845
3	18	3929
4	23	4026
5	29	4106
6	35	4215
7	40	4236
8	45	4246
9	49	4177
10	54	4132
11	58	4080
12	62	4013
13	66	3951
14	70	3899
15	73	3855
16	77	3812
17	81	3770
18	85	3727
19	88	3691
20	92	3653
21	95	3606
22	99	3574
23	102	3544
24	106	3521
25	110	3492
26	113	3471
27	117	3456
28	121	3435
29	125	3418
30	128	3407
31	132	3395
32	136	3380
33	140	3363
34	144	3358
35	148	3355
36	152	3349
37	157	3371
38	162	3387
39	168	3411
40	173	3426
41	179	3448
42	186	3493
43	191	3508
44	197	3538
45	206	3601
46	212	3633
47	217	3639
48	223	3651
49	228	3654
50	233	3651
51	237	3646
52	241	3630
53	245	3613
54	250	3620
55	254	3611
56	257	3588
57	261	3573
58	266	3568
59	269	3553
60	273	3540
61	277	3526
62	282	3524
63	286	3517
64	290	3505
65	294	3492
66	297	3472
67	300	3460
68	304	3443
69	307	3431
70	311	3419
71	315	3410
72	319	3396
73	322	3384
74	326	3373
75	329	3360
76	333	3348
77	336	3334
78	340	3322
79	343	3309
80	347	3295
81	350	3285
82	354	3276
83	358	3268
84	363	3267
85	366	3258
86	370	3247
87	374	3239
88	378	3232
89	381	3223
90	385	3214
91	389	3205
92	392	3197
93	396	3188
94	400	3179
95	403	3170
96	407	3162
97	410	3153
98	414	3146
99	418	3135
100	421	3125
101	425	3116
102	428	3107
103	431	3098
104	435	3090
105	438	3081
106	442	3071
107	445	3060
108	449	3052
109	452	3044
110	456	3037
111	460	3031
112	463	3024
113	467	3017
114	470	3008
115	474	3000
116	477	2991
117	480	2981
118	483	2969
119	487	2962
120	490	2954
121	493	2945
122	497	2938
123	500	2932
124	504	2925
125	507	2918
126	511	2910
127	514	2904
128	518	2897
129	521	2890
130	525	2883
131	528	2875
132	532	2868
133	535	2861
134	539	2855
135	542	2850
136	546	2841
137	549	2834
138	553	2828
139	556	2822
140	560	2815
141	563	2808
142	566	2801
143	569	2793
144	573	2787
145	576	2781
146	580	2774
147	583	2768
148	586	2761
149	590	2756
150	594	2752
151	598	2746
152	601	2741
153	605	2736
154	609	2734
155	613	2727
156	616	2722
157	619	2715
158	623	2708
159	626	2702
160	629	2694
161	633	2689
162	636	2684
163	640	2680
164	644	2674
165	647	2667
166	650	2662
167	654	2656
168	657	2650
169	660	2643
170	664	2637
171	667	2629
172	670	2622
173	673	2617
174	677	2611
175	680	2605
176	682	2596
177	686	2591
178	690	2586
179	693	2581
180	697	2577
181	701	2573
182	705	2572
183	709	2569
184	713	2564
185	717	2560
186	720	2555
187	724	2550
188	727	2543
189	730	2536
190	733	2532
191	737	2527
192	741	2522
193	744	2517
194	747	2512
195	751	2506
196	754	2501
197	758	2496
198	761	2491
199	765	2487
200	768	2482
201	772	2478
202	776	2473
203	779	2468
204	783	2464
205	787	2461
206	790	2456
207	794	2450
208	797	2446
209	801	2441
210	804	2436
211	808	2431
212	811	2426
213	814	2421
214	818	2416
215	822	2412
216	825	2409
217	829	2405
218	833	2401
219	836	2395
220	840	2390
221	843	2387
222	847	2383
223	851	2378
224	854	2374
225	858	2369
226	861	2364
227	865	2361
228	869	2358
229	872	2352
230	875	2347
231	879	2342
232	882	2337
233	886	2333
234	889	2328
235	893	2324
236	896	2318
237	899	2312
238	902	2308
239	906	2303
240	910	2300
241	914	2296
242	917	2292
243	921	2288
244	924	2284
245	928	2279
246	931	2274
247	935	2269
248	938	2265
249	942	2262
250	946	2259
251	950	2254
252	954	2251
253	957	2247
254	961	2243
255	965	2240
256	969	2237
257	973	2232
258	976	2229
259	979	2223
260	983	2219
261	987	2215
262	991	2212
263	994	2207
264	998	2203
265	1001	2199
266	1005	2194
267	1008	2190
268	1012	2186
269	1015	2180
270	1017	2174
271	1021	2170
272	1024	2165
273	1027	2160
274	1031	2156
275	1035	2152
276	1038	2148
277	1042	2144
278	1046	2141
279	1049	2137
280	1053	2132
281	1056	2128
282	1059	2123
283	1063	2119
284	1066	2114
285	1070	2110
286	1073	2105
287	1076	2100
288	1080	2096
289	1083	2092
290	1087	2088
291	1090	2083
292	1094	2080
293	1097	2075
294	1101	2071
295	1104	2067
296	1108	2063
297	1111	2058
298	1114	2054
299	1118	2050
300	1121	2045
301	1125	2041
302	1130	2040
303	1134	2037
304	1138	2033
305	1142	2030
306	1145	2026
307	1149	2022
308	1152	2017
309	1155	2012
310	1158	2007
311	1161	2003
312	1165	2000
313	1169	1997
314	1174	1994
315	1177	1989
316	1181	1986
317	1185	1982
318	1188	1979
319	1192	1975
320	1196	1972
321	1200	1968
322	1204	1964
323	1207	1960
324	1210	1956
325	1214	1952
326	1218	1948
327	1221	1944
328	1225	1940
329	1228	1936
330	1231	1931
331	1235	1927
332	1239	1923
333	1242	1919
334	1246	1915
335	1249	1911
336	1252	1907
337	1256	1903
338	1259	1898
339	1263	1895
340	1266	1891
341	1270	1887
342	1273	1883
343	1277	1879
344	1280	1875
345	1284	1870
346	1287	1866
347	1291	1862
348	1294	1858
349	1298	1854
350	1301	1850
351	1305	1847
352	1308	1842
353	1312	1838
354	1315	1834
355	1318	1829
356	1322	1825
357	1325	1821
358	1329	1817
359	1332	1813
360	1336	1810
361	1340	1806
362	1343	1802
363	1347	1798
364	1350	1794
365	1353	1790
366	1357	1786
367	1360	1782
368	1364	1778
369	1367	1774
370	1371	1770
371	1374	1766
372	1377	1761
373	1381	1757
374	1384	1753
375	1388	1750
376	1392	1746
377	1395	1741
378	1398	1738
379	1401	1733
380	1404	1729
381	1408	1725
382	1412	1722
383	1416	1718
384	1419	1714
385	1423	1711
386	1426	1707
387	1430	1703
388	1433	1699
389	1437	1695
390	1440	1691
391	1444	1688
392	1448	1684
393	1452	1681
394	1456	1677
395	1459	1673
396	1463	1669
397	1466	1665
398	1470	1662
399	1473	1658
400	1477	1654
401	1480	1649
402	1483	1645
403	1487	1642
404	1490	1638
405	1494	1634
406	1497	1630
407	1501	1626
408	1504	1622
409	1508	1619
410	1511	1614
411	1515	1610
412	1518	1606
413	1522	1603
414	1525	1599
415	1529	1595
416	1533	1592
417	1537	1589
418	1541	1585
419	1545	1581
420	1548	1578
421	1552	1574
422	1555	1570
423	1559	1566
424	1562	1562
425	1566	1558
426	1569	1554
427	1572	1550
428	1576	1546
429	1579	1542
430	1582	1538
431	1586	1535
432	1590	1531
433	1593	1527
434	1597	1523
435	1600	1520
436	1604	1516
437	1608	1512
438	1611	1508
439	1615	1505
440	1618	1501
441	1622	1497
442	1625	1493
443	1629	1489
444	1632	1486
445	1636	1482
446	1639	1478
447	1643	1474
448	1646	1470
449	1650	1466
450	1653	1463
451	1657	1459
452	1660	1455
453	1664	1451
454	1667	1447
455	1670	1443
456	1674	1439
457	1677	1436
458	1681	1432
459	1685	1428
460	1688	1425
461	1692	1421
462	1694	1416
463	1697	1412
464	1700	1408
465	1704	1404
466	1708	1400
467	1711	1396
468	1714	1393
469	1718	1389
470	1721	1385
471	1725	1381
472	1728	1377
473	1732	1374
474	1735	1369
475	1738	1366
476	1742	1362
477	1745	1358
478	1748	1354
479	1752	1350
480	1755	1346
481	1759	1343
482	1762	1339
483	1765	1335
484	1769	1331
485	1772	1327
486	1775	1323
487	1779	1319
488	1782	1316
489	1786	1312
490	1789	1308
491	1793	1304
492	1796	1301
493	1800	1297
494	1803	1293
495	1807	1289
496	1810	1285
497	1814	1282
498	1817	1278
499	1821	1274
500	1824	1271
501	1828	1267
502	1832	1263
503	1835	1259
504	1837	1255
505	1841	1251
506	1844	1247
507	1847	1243
508	1851	1240
509	1853	1235
510	1857	1232
511	1860	1228
512	1864	1224
513	1867	1220
514	1871	1217
515	1874	1213
516	1878	1209
517	1881	1206
518	1885	1202
519	1889	1198
520	1892	1195
521	1895	1191
522	1899	1187
523	1903	1184
524	1906	1180
525	1909	1176
526	1913	1172
527	1917	1169
528	1920	1165
529	1924	1161
530	1927	1157
531	1930	1154
532	1934	1150
533	1938	1146
534	1941	1143
535	1944	1139
536	1948	1135
537	1951	1131
538	1955	1128
539	1958	1124
540	1962	1120
541	1965	1116
542	1968	1113
543	1972	1109
544	1975	1105
545	1978	1101
546	1982	1098
547	1986	1094
548	1989	1090
549	1993	1087
550	1996	1083
551	1999	1079
552	2003	1076
553	2007	1072
554	2010	1068
555	2014	1065
556	2017	1061
557	2021	1057
558	2024	1054
559	2027	1050
560	2031	1046
561	2034	1042
562	2038	1039
563	2041	1035
564	2045	1031
565	2049	1028
566	2052	1024
567	2056	1020
568	2059	1016
569	2062	1013
570	2066	1009
571	2069	1005
572	2073	1002
573	2076	998
574	2079	994
575	2083	991
576	2086	987
577	2090	983
578	2093	979
579	2097	976
580	2100	972
581	2103	968
582	2107	965
583	2111	961
584	2114	957
585	2119	954
586	2123	951
587	2126	947
588	2130	943
589	2133	940
590	2137	936
591	2141	933
592	2144	929
593	2148	925
594	2151	922
595	2154	918
596	2158	914
597	2161	911
598	2165	907
599	2168	903
600	2172	899
601	2174	896
602	2178	892
603	2183	889
604	2187	885
605	2190	881
606	2193	878
607	2197	874
608	2200	870
609	2204	867
610	2207	863
611	2211	859
612	2214	856
613	2218	852
614	2221	848
615	2225	845
616	2228	841
617	2232	837
618	2235	834
619	2238	830
620	2242	826
621	2246	823
622	2249	819
623	2253	816
624	2256	812
625	2260	808
626	2263	804
627	2266	801
628	2270	797
629	2273	793
630	2277	790
631	2280	786
632	2284	782
633	2287	779
634	2291	775
635	2295	772
636	2298	768
637	2302	764
638	2305	761
639	2309	757
640	2312	754
641	2315	750
642	2319	746
643	2323	743
644	2326	739
645	2329	735
646	2333	732
647	2337	728
648	2340	724
649	2344	721
650	2347	717
651	2350	713
652	2354	710
653	2358	706
654	2361	702
655	2364	699
656	2368	695
657	2372	692
658	2375	688
659	2379	684
660	2382	681
661	2386	677
662	2390	674
663	2393	670
664	2396	666
665	2399	662
666	2403	659
667	2406	655
668	2410	652
